"Study","Tool","q1","q2","q3","q4","q5","At"
"R-23","MMAT (adapted for engineering studies)","yes","yes","yes","yes","cant_say","2026-09-08T23:31:34.567Z"
"R-174","MMAT (adapted for engineering studies)","yes","yes","yes","yes","no","2026-09-08T20:31:19.456Z"
"R-31","MMAT (adapted for engineering studies)","yes","yes","no","yes","yes","2026-09-08T23:35:25.565Z"
"R-55","MMAT (adapted for engineering studies)","yes","cant_say","yes","cant_say","yes","2026-09-08T20:32:14.872Z"
"R-01","MMAT (adapted for engineering studies)","yes","cant_say","yes","cant_say","no","2026-09-08T20:36:55.756Z"
"R-171","MMAT (adapted for engineering studies)","yes","yes","yes","yes","yes","2026-09-08T20:36:32.074Z"
"R-165","MMAT (adapted for engineering studies)","yes","yes","yes","cant_say","yes","2026-09-08T20:37:40.057Z"
"R-167","MMAT (adapted for engineering studies)","yes","yes","yes","yes","cant_say","2026-09-08T20:38:02.107Z"
"R-44","MMAT (adapted for engineering studies)","yes","yes","yes","cant_say","no","2026-09-08T20:38:30.007Z"
"R-46","MMAT (adapted for engineering studies)","yes","no","cant_say","yes","no","2026-09-08T20:39:03.057Z"
"R-56","MMAT (adapted for engineering studies)","yes","yes","yes","yes","yes","2026-09-08T20:39:41.007Z"
"R-52","MMAT (adapted for engineering studies)","yes","yes","yes","yes","cant_say","2026-09-08T20:40:09.507Z"
"R-54","MMAT (adapted for engineering studies)","yes","yes","yes","yes","no","2026-09-08T20:40:35.273Z"
"R-154","MMAT (adapted for engineering studies)","yes","yes","yes","yes","yes","2026-09-08T20:41:26.475Z"
"R-14","MMAT (adapted for engineering studies)","yes","yes","yes","yes","no","2026-09-08T20:41:42.857Z"
"R-153","MMAT (adapted for engineering studies)","yes","yes","yes","yes","cant_say","2026-09-08T20:41:58.724Z"
"R-20","MMAT (adapted for engineering studies)","yes","yes","yes","yes","yes","2026-09-08T23:31:04.350Z"
"R-21","MMAT (adapted for engineering studies)","yes","yes","yes","yes","no","2026-09-08T23:31:17.050Z"
"R-25","MMAT (adapted for engineering studies)","yes","yes","yes","yes","cant_say","2026-09-08T23:32:09.184Z"
"R-27","MMAT (adapted for engineering studies)","no","no","no","no","cant_say","2026-09-08T23:32:30.283Z"
"R-30","MMAT (adapted for engineering studies)","yes","yes","yes","yes","yes","2026-09-08T23:34:55.615Z"
"R-34","MMAT (adapted for engineering studies)","yes","yes","yes","no","no","2026-09-08T23:35:48.648Z"
"R-40","MMAT (adapted for engineering studies)","yes","yes","yes","cant_say","no","2026-09-08T23:36:27.431Z"
"R-41","MMAT (adapted for engineering studies)","yes","yes","yes","no","no","2026-09-08T23:36:45.164Z"
"R-42","MMAT (adapted for engineering studies)","yes","yes","yes","yes","no","2026-09-08T23:37:13.264Z"
"R-45","MMAT (adapted for engineering studies)","yes","yes","yes","no","no","2026-09-08T23:37:47.130Z"
"R-48","MMAT (adapted for engineering studies)","yes","yes","yes","cant_say","no","2026-09-08T23:38:20.581Z"
