"Reference","Stage","Reviewer","Decision","Reason","At"
"R-01","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:04:13.283Z"
"R-01","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:31:52.476Z"
"R-01","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T19:45:26.884Z"
"R-01","full-text","Bernardo Ibarra Infante","include","","2026-09-07T19:45:34.683Z"
"R-01","full-text","Remberto","include","","2026-09-08T15:14:11.284Z"
"R-02","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:04:24.683Z"
"R-02","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:32:03.608Z"
"R-03","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:04:40.065Z"
"R-03","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:32:16.410Z"
"R-04","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:04:45.946Z"
"R-04","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:32:19.583Z"
"R-05","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:04:57.838Z"
"R-05","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:32:28.611Z"
"R-06","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:03.429Z"
"R-06","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:32:37.733Z"
"R-07","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:13.435Z"
"R-07","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:32:42.464Z"
"R-08","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:05:18.314Z"
"R-08","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:32:49.244Z"
"R-09","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:05:22.673Z"
"R-09","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:32:51.907Z"
"R-10","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:28.540Z"
"R-10","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:32:57.138Z"
"R-11","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:35.037Z"
"R-11","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:33:00.712Z"
"R-12","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:44.788Z"
"R-12","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:33:05.608Z"
"R-13","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:05:50.427Z"
"R-13","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:33:09.579Z"
